,wczesna,późna,hybrydowa
wczesna,1.0,0.06525980383058527,0.06525980383058527
późna,0.06525980383058527,1.0,2.3064402435379883e-05
hybrydowa,0.06525980383058527,2.3064402435379883e-05,1.0
