accuracy,precision,recall,f1_score
0.7183088393950805,0.75379962239817,0.7547226386806597,0.7542430561754548
0.7160856791478685,0.7642732097099928,0.7715142428785607,0.7649794860642904
0.712337954815637,0.7488842872011572,0.7502248875562219,0.7495174919825897
0.7392554433480765,0.7725095086888155,0.7736131934032984,0.7730290573689081
0.737671192979088,0.7757528705601952,0.7799100449775113,0.7771615786309745
0.7134121028195719,0.7433742559957323,0.7286356821589205,0.7336341910895008
0.7202177749445595,0.7589176163311592,0.7628185907046476,0.760435647730394
0.7277575268301127,0.7632437048227521,0.7652173913043478,0.7641314049821158
0.7465242482194617,0.7815164335083447,0.784407796101949,0.7826618069107301
0.6896467064247054,0.7255239213592928,0.7205397301349326,0.7227130854162619
