accuracy,precision,recall,f1
0.6862570997962872,0.7968790171112011,0.7841079460269865,0.7582095767826914
0.6623062862168577,0.805982391431217,0.775112443778111,0.7386975810908056
0.6733546070837569,0.7870972867461228,0.775112443778111,0.7464521575227407
0.6884609799380248,0.8167955790401558,0.7913043478260869,0.7626345805113179
0.6765893575458641,0.7891249498226083,0.7772113943028486,0.7493557517745246
0.6759081955216006,0.8005170815717234,0.7805097451274363,0.7501973554553368
0.6678880818592257,0.8064090001822135,0.7781109445277361,0.7437737922000637
0.7262567552156788,0.8193123574553091,0.8095952023988006,0.7921189886402709
0.6637838806832214,0.8004254662140227,0.7745127436281859,0.7396187726141187
0.7063861452341631,0.8076489303361369,0.7967016491754123,0.7754442945133735
