accuracy,precision,recall,f1_score
0.6506561137585856,0.676296168844596,0.68095952023988,0.6703622952612569
0.6616665192866011,0.6816014216049543,0.6863568215892054,0.6796986349769145
0.6689577455159925,0.6888953942069671,0.6932533733133434,0.6868430506507455
0.6814062213212635,0.7061843677623132,0.7088455772113943,0.7004991795605259
0.6975757341570764,0.7146308608321695,0.7178410794602699,0.7136344818978346
0.6448066732702844,0.6685642560562756,0.6740629685157421,0.6642222508549134
0.6602438681842602,0.6830111723582513,0.6875562218890555,0.6791798387383268
0.6506962407680013,0.6730011807993362,0.6782608695652174,0.6696744978115258
0.627818829524859,0.6757244745124411,0.6728635682158921,0.6474669343607117
0.6318573529400837,0.67072989924218,0.672263868065967,0.652214535524629
