accuracy,precision,recall,f1_score
0.9236572499474262,0.9279540719068518,0.9280359820089955,0.9278830266822607
0.958711722362708,0.9598406302326918,0.9598200899550224,0.9598289387618669
0.9448080851465416,0.9454106972781837,0.945127436281859,0.9452056490573031
0.9309886031862331,0.9324204760495768,0.9322338830584708,0.9322993562686622
0.9462613888255196,0.9492889640779093,0.9493253373313343,0.9492519357500993
0.921836858441571,0.9290296801188643,0.9286356821589206,0.9282732356896121
0.9491507192766437,0.951383681606096,0.9514242878560719,0.9513912695372138
0.9242500522022669,0.9306826554689551,0.9304347826086956,0.9301305868804727
0.9411175149194451,0.9407336258086473,0.9397301349325338,0.9399120081601521
0.9435288509482236,0.9465799438552006,0.9466266866566717,0.946552596437467
