accuracy,precision,recall,f1
0.5761839139736366,0.7406301197766411,0.6497751124437781,0.5676933751679348
0.573562282691809,0.7306295510135432,0.6470764617691155,0.564831855136994
0.6039872871689429,0.7522877572520851,0.6719640179910045,0.6071003304279969
0.6209905500892826,0.7504405500426119,0.6845577211394303,0.6305710011196926
0.5994152231470424,0.7545113863415882,0.6686656671664168,0.6003971620122903
0.6093356973591226,0.744852074826762,0.6752623688155922,0.6153634734805509
0.5835210261813875,0.7499550072823707,0.656071964017991,0.5777335487936908
0.6017959065991839,0.7508290047736514,0.6701649175412294,0.604171344279551
0.6019526991730121,0.7431577707899636,0.6695652173913044,0.605250522297792
0.5977783755546259,0.7480949156070108,0.6668665667166417,0.5987612555224849
