accuracy,precision,recall,f1_score
0.9506263576170495,0.9542865116453766,0.9535232383808095,0.9533859204106461
0.9558334641879886,0.955762845049682,0.9556221889055472,0.9556506298592465
0.9438915229446369,0.9462657748312174,0.9460269865067467,0.9459302878036419
0.9461980179881533,0.946200636089089,0.9460269865067467,0.9460644819689435
0.9503213935730008,0.9511102825079831,0.9511244377811094,0.9511103594703283
0.945086480387795,0.948402084464451,0.9478260869565217,0.9476883591255811
0.9452178802708983,0.9454913316361903,0.9454272863568216,0.9454469694070436
0.9484407213871757,0.9493103298200749,0.9493253373313343,0.9493073934585214
0.95381612158433,0.9554110632653597,0.9553223388305847,0.9552718545356282
0.9461687574332713,0.9483114438206849,0.9481259370314843,0.9480433862227767
