accuracy,precision,recall,f1_score
0.8267911457924413,0.8370041797433023,0.8344827586206897,0.8329361890782442
0.8351031425472458,0.8378726730652417,0.8380809595202399,0.8378549478065386
0.8141783926977286,0.8166020215698602,0.8167916041979011,0.8166641720312379
0.811118574672936,0.815787716821435,0.8158920539730135,0.8152359168100614
0.786102072446953,0.7971038786051775,0.7949025487256371,0.792671059931557
0.8019353040044432,0.810020053456418,0.8089955022488755,0.807569428369958
0.7890808332824454,0.8046653603562974,0.7997001499250375,0.7965815573226044
0.7849003905284493,0.8001714501535511,0.7955022488755622,0.7923527061064292
0.8403538673366425,0.8439802872639998,0.8440779610194903,0.8436937546264464
0.8024234645660133,0.8069931554522812,0.8071964017991005,0.8065369368377232
