accuracy,precision,recall,f1
0.7412440061298136,0.8024003865936574,0.7637181409295353,0.7490814158479266
0.7451698275335642,0.8033274853862268,0.7670164917541229,0.7533330667729085
0.7496897654212211,0.8152074693386893,0.7724137931034483,0.7578818291776208
0.761972655738849,0.801846786214026,0.7799100449775113,0.7709999706485164
0.7388473667681517,0.8077185002941935,0.7625187406296852,0.7462095070167439
0.775437054548944,0.8212252358715068,0.7940029985007496,0.7849496051929593
0.7617909131619428,0.8072245548592671,0.7808095952023988,0.7708630280044312
0.7390171143349821,0.8112211312684589,0.7631184407796102,0.7462385969486653
0.7375277339172359,0.8024739700544591,0.76071964017991,0.7449767141903229
0.746943089856438,0.8019461952964407,0.768215892053973,0.7552879104149596
